periodyear,stfips,areatype,region,area,prior_yr_area,population
2018,02,04,3,000068,000130,0
2018,02,04,3,000068,000150,0
2018,02,04,3,000068,000158,0
2018,02,04,3,000068,000164,1
2018,02,04,3,000068,000170,6
2018,02,04,3,000068,000180,1
2018,02,04,3,000068,000185,0
2018,02,04,3,000068,000188,0
2018,02,04,3,000068,000195,0
2018,02,04,3,000068,000198,0
2018,02,04,3,000068,000220,0
2018,02,04,3,000068,000230,0
2018,02,04,3,000068,000240,8
2018,02,04,3,000068,000261,0
2018,02,04,3,000068,000275,0
2018,02,04,3,000068,000282,0
2018,02,04,3,000068,000290,4
2018,02,04,3,000068,999999,138
2018,02,04,6,000070,000013,0
2018,02,04,6,000070,000016,0
2018,02,04,6,000070,000020,94
2018,02,04,6,000070,000050,21
2018,02,04,6,000070,000060,1
2018,02,04,6,000070,000068,0
2018,02,04,6,000070,000070,4318
2018,02,04,6,000070,000090,6
2018,02,04,6,000070,000100,0
2018,02,04,6,000070,000105,0
2018,02,04,6,000070,000110,3
2018,02,04,6,000070,000122,3
2018,02,04,6,000070,000130,1
2018,02,04,6,000070,000150,0
2018,02,04,6,000070,000158,4
2018,02,04,6,000070,000164,7
2018,02,04,6,000070,000170,27
2018,02,04,6,000070,000180,7
2018,02,04,6,000070,000185,0
2018,02,04,6,000070,000188,0
2018,02,04,6,000070,000195,0
2018,02,04,6,000070,000198,0
2018,02,04,6,000070,000220,0
2018,02,04,6,000070,000230,0
2018,02,04,6,000070,000240,0
2018,02,04,6,000070,000261,0
2018,02,04,6,000070,000275,1
2018,02,04,6,000070,000282,0
2018,02,04,6,000070,000290,0
2018,02,04,6,000070,999999,225
2018,02,04,3,000090,000013,1
2018,02,04,3,000090,000016,2
2018,02,04,3,000090,000020,505
2018,02,04,3,000090,000050,19
2018,02,04,3,000090,000060,1
2018,02,04,3,000090,000068,22
2018,02,04,3,000090,000070,10
2018,02,04,3,000090,000090,67650
2018,02,04,3,000090,000100,3
2018,02,04,3,000090,000105,3
2018,02,04,3,000090,000110,52
2018,02,04,3,000090,000122,102
2018,02,04,3,000090,000130,7
2018,02,04,3,000090,000150,13
2018,02,04,3,000090,000158,8
2018,02,04,3,000090,000164,2
2018,02,04,3,000090,000170,229
2018,02,04,3,000090,000180,13
2018,02,04,3,000090,000185,75
2018,02,04,3,000090,000188,25
2018,02,04,3,000090,000195,8
2018,02,04,3,000090,000198,6
2018,02,04,3,000090,000220,8
2018,02,04,3,000090,000230,0
2018,02,04,3,000090,000240,89
2018,02,04,3,000090,000261,54
2018,02,04,3,000090,000275,3
2018,02,04,3,000090,000282,0
2018,02,04,3,000090,000290,174
2018,02,04,3,000090,999999,7201
2018,02,04,5,000100,000013,0
2018,02,04,5,000100,000016,0
2018,02,04,5,000100,000020,10
2018,02,04,5,000100,000050,0
2018,02,04,5,000100,000060,0
2018,02,04,5,000100,000068,0
2018,02,04,5,000100,000070,3
2018,02,04,5,000100,000090,5
2018,02,04,5,000100,000100,1967
2018,02,04,5,000100,000105,13
2018,02,04,5,000100,000110,18
2018,02,04,5,000100,000122,5
2018,02,04,5,000100,000130,0
2018,02,04,5,000100,000150,0
2018,02,04,5,000100,000158,0
2018,02,04,5,000100,000164,0
2018,02,04,5,000100,000170,6
2018,02,04,5,000100,000180,0
2018,02,04,5,000100,000185,0
2018,02,04,5,000100,000188,0
2018,02,04,5,000100,000195,2
2018,02,04,5,000100,000198,8
2018,02,04,5,000100,000220,2
2018,02,04,5,000100,000230,2
2018,02,04,5,000100,000240,1
2018,02,04,5,000100,000261,0
2018,02,04,5,000100,000275,0
2018,02,04,5,000100,000282,0
2018,02,04,5,000100,000290,1
2018,02,04,5,000100,999999,151
2018,02,04,5,000105,000013,0
2018,02,04,5,000105,000016,0
2018,02,04,5,000105,000020,5
2018,02,04,5,000105,000050,2
2018,02,04,5,000105,000060,0
2018,02,04,5,000105,000068,0
2018,02,04,5,000105,000070,0
2018,02,04,5,000105,000090,2
2018,02,04,5,000105,000100,2
2018,02,04,5,000105,000105,1848
2018,02,04,5,000105,000110,40
2018,02,04,5,000105,000122,2
2018,02,04,5,000105,000130,0
2018,02,04,5,000105,000150,3
2018,02,04,5,000105,000158,0
2018,02,04,5,000105,000164,0
2018,02,04,5,000105,000170,1
2018,02,04,5,000105,000180,0
2018,02,04,5,000105,000185,0
2018,02,04,5,000105,000188,1
2018,02,04,5,000105,000195,0
2018,02,04,5,000105,000198,4
2018,02,04,5,000105,000220,7
2018,02,04,5,000105,000230,0
2018,02,04,5,000105,000240,0
2018,02,04,5,000105,000261,0
2018,02,04,5,000105,000275,0
2018,02,04,5,000105,000282,0
2018,02,04,5,000105,000290,0
2018,02,04,5,000105,999999,120
2018,02,04,5,000110,000013,0
2018,02,04,5,000110,000016,0
2018,02,04,5,000110,000020,160
2018,02,04,5,000110,000050,3
2018,02,04,5,000110,000060,0
2018,02,04,5,000110,000068,0
2018,02,04,5,000110,000070,1
2018,02,04,5,000110,000090,40
2018,02,04,5,000110,000100,29
2018,02,04,5,000110,000105,48
2018,02,04,5,000110,000110,26527
2018,02,04,5,000110,000122,25
2018,02,04,5,000110,000130,40
2018,02,04,5,000110,000150,9
2018,02,04,5,000110,000158,2
2018,02,04,5,000110,000164,0
2018,02,04,5,000110,000170,29
2018,02,04,5,000110,000180,0
2018,02,04,5,000110,000185,2
2018,02,04,5,000110,000188,1
2018,02,04,5,000110,000195,15
2018,02,04,5,000110,000198,24
2018,02,04,5,000110,000220,38
2018,02,04,5,000110,000230,5
2018,02,04,5,000110,000240,2
2018,02,04,5,000110,000261,5
2018,02,04,5,000110,000275,30
2018,02,04,5,000110,000282,2
2018,02,04,5,000110,000290,0
2018,02,04,5,000110,999999,2216
2018,02,04,2,000122,000013,0
2018,02,04,2,000122,000016,2
2018,02,04,2,000122,000020,590
2018,02,04,2,000122,000050,30
2018,02,04,2,000122,000060,0
2018,02,04,2,000122,000068,7
2018,02,04,2,000122,000070,7
2018,02,04,2,000122,000090,89
2018,02,04,2,000122,000100,1
2018,02,04,2,000122,000105,0
2018,02,04,2,000122,000110,27
2018,02,04,2,000122,000122,49257
2018,02,04,2,000122,000130,8
2018,02,04,2,000122,000150,19
2018,02,04,2,000122,000158,15
2018,02,04,2,000122,000164,6
2018,02,04,2,000122,000170,266
2018,02,04,2,000122,000180,10
2018,02,04,2,000122,000185,3
2018,02,04,2,000122,000188,7
2018,02,04,2,000122,000195,1
2018,02,04,2,000122,000198,10
2018,02,04,2,000122,000220,14
2018,02,04,2,000122,000230,0
2018,02,04,2,000122,000240,15
2018,02,04,2,000122,000261,20
2018,02,04,2,000122,000275,4
2018,02,04,2,000122,000282,0
2018,02,04,2,000122,000290,10
2018,02,04,2,000122,999999,3881
2018,02,04,5,000130,000013,0
2018,02,04,5,000130,000016,1
2018,02,04,5,000130,000020,36
2018,02,04,5,000130,000050,0
2018,02,04,5,000130,000060,0
2018,02,04,5,000130,000068,0
2018,02,04,5,000130,000070,0
2018,02,04,5,000130,000090,8
2018,02,04,5,000130,000100,1
2018,02,04,5,000130,000105,3
2018,02,04,5,000130,000110,45
2018,02,04,5,000130,000122,18
2018,02,04,5,000130,000130,11232
2018,02,04,5,000130,000150,0
2018,02,04,5,000130,000158,0
2018,02,04,5,000130,000164,0
2018,02,04,5,000130,000170,19
2018,02,04,5,000130,000180,0
2018,02,04,5,000130,000185,0
2018,02,04,5,000130,000188,5
2018,02,04,5,000130,000195,5
2018,02,04,5,000130,000198,41
2018,02,04,5,000130,000220,3
2018,02,04,5,000130,000230,0
2018,02,04,5,000130,000240,13
2018,02,04,5,000130,000261,5
2018,02,04,5,000130,000275,9
2018,02,04,5,000130,000282,0
2018,02,04,5,000130,000290,0
2018,02,04,5,000130,999999,971
2018,02,04,2,000150,000013,0
2018,02,04,2,000150,000016,2
2018,02,04,2,000150,000020,161
2018,02,04,2,000150,000050,0
2018,02,04,2,000150,000060,0
2018,02,04,2,000150,000068,0
2018,02,04,2,000150,000070,6
2018,02,04,2,000150,000090,29
2018,02,04,2,000150,000100,0
2018,02,04,2,000150,000105,0
2018,02,04,2,000150,000110,12
2018,02,04,2,000150,000122,43
2018,02,04,2,000150,000130,3
2018,02,04,2,000150,000150,10110
2018,02,04,2,000150,000158,0
2018,02,04,2,000150,000164,0
2018,02,04,2,000150,000170,31
2018,02,04,2,000150,000180,0
2018,02,04,2,000150,000185,5
2018,02,04,2,000150,000188,3
2018,02,04,2,000150,000195,1
2018,02,04,2,000150,000198,4
2018,02,04,2,000150,000220,3
2018,02,04,2,000150,000230,1
2018,02,04,2,000150,000240,0
2018,02,04,2,000150,000261,1
2018,02,04,2,000150,000275,0
2018,02,04,2,000150,000282,0
2018,02,04,2,000150,000290,1
2018,02,04,2,000150,999999,1042
2018,02,04,6,000158,000013,0
2018,02,04,6,000158,000016,0
2018,02,04,6,000158,000020,103
2018,02,04,6,000158,000050,125
2018,02,04,6,000158,000060,0
2018,02,04,6,000158,000068,2
2018,02,04,6,000158,000070,13
2018,02,04,6,000158,000090,26
2018,02,04,6,000158,000100,0
2018,02,04,6,000158,000105,0
2018,02,04,6,000158,000110,2
2018,02,04,6,000158,000122,28
2018,02,04,6,000158,000130,0
2018,02,04,6,000158,000150,0
2018,02,04,6,000158,000158,7900
2018,02,04,6,000158,000164,2
2018,02,04,6,000158,000170,38
2018,02,04,6,000158,000180,4
2018,02,04,6,000158,000185,3
2018,02,04,6,000158,000188,4
2018,02,04,6,000158,000195,0
2018,02,04,6,000158,000198,5
2018,02,04,6,000158,000220,0
2018,02,04,6,000158,000230,0
2018,02,04,6,000158,000240,2
2018,02,04,6,000158,000261,1
2018,02,04,6,000158,000275,0
2018,02,04,6,000158,000282,0
2018,02,04,6,000158,000290,0
2018,02,04,6,000158,999999,330
2018,02,04,6,000164,000013,0
2018,02,04,6,000164,000016,0
2018,02,04,6,000164,000020,39
2018,02,04,6,000164,000050,8
2018,02,04,6,000164,000060,8
2018,02,04,6,000164,000068,1
2018,02,04,6,000164,000070,17
2018,02,04,6,000164,000090,0
2018,02,04,6,000164,000100,0
2018,02,04,6,000164,000105,0
2018,02,04,6,000164,000110,0
2018,02,04,6,000164,000122,5
2018,02,04,6,000164,000130,0
2018,02,04,6,000164,000150,3
2018,02,04,6,000164,000158,5
2018,02,04,6,000164,000164,1392
2018,02,04,6,000164,000170,31
2018,02,04,6,000164,000180,0
2018,02,04,6,000164,000185,0
2018,02,04,6,000164,000188,1
2018,02,04,6,000164,000195,0
2018,02,04,6,000164,000198,0
2018,02,04,6,000164,000220,0
2018,02,04,6,000164,000230,0
2018,02,04,6,000164,000240,0
2018,02,04,6,000164,000261,0
2018,02,04,6,000164,000275,0
2018,02,04,6,000164,000282,0
2018,02,04,6,000164,000290,0
2018,02,04,6,000164,999999,87
2018,02,04,1,000170,000013,0
2018,02,04,1,000170,000016,11
2018,02,04,1,000170,000020,1929
2018,02,04,1,000170,000050,30
2018,02,04,1,000170,000060,18
2018,02,04,1,000170,000068,16
2018,02,04,1,000170,000070,20
2018,02,04,1,000170,000090,184
2018,02,04,1,000170,000100,8
2018,02,04,1,000170,000105,0
2018,02,04,1,000170,000110,74
2018,02,04,1,000170,000122,277
2018,02,04,1,000170,000130,9
2018,02,04,1,000170,000150,16
2018,02,04,1,000170,000158,16
2018,02,04,1,000170,000164,4
2018,02,04,1,000170,000170,87066
2018,02,04,1,000170,000180,40
2018,02,04,1,000170,000185,16
2018,02,04,1,000170,000188,41
2018,02,04,1,000170,000195,0
2018,02,04,1,000170,000198,7
2018,02,04,1,000170,000220,22
2018,02,04,1,000170,000230,2
2018,02,04,1,000170,000240,38
2018,02,04,1,000170,000261,49
2018,02,04,1,000170,000275,1
2018,02,04,1,000170,000282,0
2018,02,04,1,000170,000290,7
2018,02,04,1,000170,999999,6818
2018,02,04,4,000180,000013,0
2018,02,04,4,000180,000016,0
2018,02,04,4,000180,000020,167
2018,02,04,4,000180,000050,10
2018,02,04,4,000180,000060,1
2018,02,04,4,000180,000068,0
2018,02,04,4,000180,000070,9
2018,02,04,4,000180,000090,36
2018,02,04,4,000180,000100,0
2018,02,04,4,000180,000105,0
2018,02,04,4,000180,000110,0
2018,02,04,4,000180,000122,26
2018,02,04,4,000180,000130,5
2018,02,04,4,000180,000150,4
2018,02,04,4,000180,000158,8
2018,02,04,4,000180,000164,0
2018,02,04,4,000180,000170,28
2018,02,04,4,000180,000180,8663
2018,02,04,4,000180,000185,7
2018,02,04,4,000180,000188,21
2018,02,04,4,000180,000195,2
2018,02,04,4,000180,000198,2
2018,02,04,4,000180,000220,2
2018,02,04,4,000180,000230,0
2018,02,04,4,000180,000240,0
2018,02,04,4,000180,000261,8
2018,02,04,4,000180,000275,0
2018,02,04,4,000180,000282,4
2018,02,04,4,000180,000290,2
2018,02,04,4,000180,999999,510
2018,02,04,4,000185,000013,0
2018,02,04,4,000185,000016,2
2018,02,04,4,000185,000020,158
2018,02,04,4,000185,000050,6
2018,02,04,4,000185,000060,0
2018,02,04,4,000185,000068,0
2018,02,04,4,000185,000070,6
2018,02,04,4,000185,000090,48
2018,02,04,4,000185,000100,0
2018,02,04,4,000185,000105,2
2018,02,04,4,000185,000110,2
2018,02,04,4,000185,000122,24
2018,02,04,4,000185,000130,1
2018,02,04,4,000185,000150,1
2018,02,04,4,000185,000158,4
2018,02,04,4,000185,000164,1
2018,02,04,4,000185,000170,24
2018,02,04,4,000185,000180,2
2018,02,04,4,000185,000185,6116
2018,02,04,4,000185,000188,10
2018,02,04,4,000185,000195,0
2018,02,04,4,000185,000198,1
2018,02,04,4,000185,000220,2
2018,02,04,4,000185,000230,0
2018,02,04,4,000185,000240,1
2018,02,04,4,000185,000261,0
2018,02,04,4,000185,000275,2
2018,02,04,4,000185,000282,0
2018,02,04,4,000185,000290,1
2018,02,04,4,000185,999999,479
2018,02,04,4,000188,000013,0
2018,02,04,4,000188,000016,0
2018,02,04,4,000188,000020,194
2018,02,04,4,000188,000050,9
2018,02,04,4,000188,000060,0
2018,02,04,4,000188,000068,0
2018,02,04,4,000188,000070,1
2018,02,04,4,000188,000090,48
2018,02,04,4,000188,000100,0
2018,02,04,4,000188,000105,0
2018,02,04,4,000188,000110,2
2018,02,04,4,000188,000122,7
2018,02,04,4,000188,000130,0
2018,02,04,4,000188,000150,1
2018,02,04,4,000188,000158,6
2018,02,04,4,000188,000164,0
2018,02,04,4,000188,000170,49
2018,02,04,4,000188,000180,31
2018,02,04,4,000188,000185,10
2018,02,04,4,000188,000188,6433
2018,02,04,4,000188,000195,0
2018,02,04,4,000188,000198,2
2018,02,04,4,000188,000220,0
2018,02,04,4,000188,000230,0
2018,02,04,4,000188,000240,5
2018,02,04,4,000188,000261,5
2018,02,04,4,000188,000275,3
2018,02,04,4,000188,000282,0
2018,02,04,4,000188,000290,1
2018,02,04,4,000188,999999,397
2018,02,04,5,000195,000013,0
2018,02,04,5,000195,000016,1
2018,02,04,5,000195,000020,7
2018,02,04,5,000195,000050,0
2018,02,04,5,000195,000060,0
2018,02,04,5,000195,000068,0
2018,02,04,5,000195,000070,0
2018,02,04,5,000195,000090,3
2018,02,04,5,000195,000100,1
2018,02,04,5,000195,000105,0
2018,02,04,5,000195,000110,14
2018,02,04,5,000195,000122,5
2018,02,04,5,000195,000130,6
2018,02,04,5,000195,000150,0
2018,02,04,5,000195,000158,0
2018,02,04,5,000195,000164,0
2018,02,04,5,000195,000170,4
2018,02,04,5,000195,000180,0
2018,02,04,5,000195,000185,0
2018,02,04,5,000195,000188,0
2018,02,04,5,000195,000195,2738
2018,02,04,5,000195,000198,2
2018,02,04,5,000195,000220,1
2018,02,04,5,000195,000230,0
2018,02,04,5,000195,000240,0
2018,02,04,5,000195,000261,1
2018,02,04,5,000195,000275,1
2018,02,04,5,000195,000282,0
2018,02,04,5,000195,000290,0
2018,02,04,5,000195,999999,154
2018,02,04,5,000198,000013,2
2018,02,04,5,000198,000016,3
2018,02,04,5,000198,000020,29
2018,02,04,5,000198,000050,1
2018,02,04,5,000198,000060,0
