x,n,AlaskaTotal,AlaskaMale,AlaskaFemale,AleutiansEastTotal,AleutiansEastMale,AleutiansEastFemale,AleutiansWestTotal,AleutiansWestMale,AleutiansWestFemale,AnchorageTotal,AnchorageMale,AnchorageFemale,BethelTotal,BethelMale,BethelFemale,BristolBayTotal,BristolBayMale,BristolBayFemale,DenaliTotal,DenaliMale,DenaliFemale,DillinghamTotal,DillinghamMale,DillinghamFemale,FairbanksNorthStarTotal,FairbanksNorthStarMale,FairbanksNorthStarFemale,HainesTotal,HainesMale,HainesFemale,HoonahAngoonTotal,HoonahAngoonMale,HoonahAngoonFemale,JuneauTotal,JuneauMale,JuneauFemale,KenaiPeninsulaTotal,KenaiPeninsulaMale,KenaiPeninsulaFemale,KetchikanGatewayTotal,KetchikanGatewayMale,KetchikanGatewayFemale,KodiakIslandTotal,KodiakIslandMale,KodiakIslandFemale,KusilvakTotal,KusilvakMale,KusilvakFemale,LakeandPeninsulaTotal,LakeandPeninsulaMale,LakeandPeninsulaFemale,MatanuskaSusitnaTotal,MatanuskaSusitnaMale,MatanuskaSusitnaFemale,NomeTotal,NomeMale,NomeFemale,NorthSlopeTotal,NorthSlopeMale,NorthSlopeFemale,NorthwestArcticTotal,NorthwestArcticMale,NorthwestArcticFemale,PetersburgTotal,PetersburgMale,PetersburgFemale,PrinceofWalesHyderTotal,PrinceofWalesHyderMale,PrinceofWalesHyderFemale,SitkaTotal,SitkaMale,SitkaFemale,SkagwayTotal,SkagwayMale,SkagwayFemale,SoutheastFairbanksTotal,SoutheastFairbanksMale,SoutheastFairbanksFemale,ValdezCordovaTotal,ValdezCordovaMale,ValdezCordovaFemale,WrangellTotal,WrangellMale,WrangellFemale,YakutatTotal,YakutatMale,YakutatFemale,YukonKoyukukTotal,YukonKoyukukMale,YukonKoyukukFemale,"v2017 from http://live.laborstats.alaska.gov/pop/index.cfm, Nov 2018"
Total,NA,731042,378844,352198,3146,2106,1040,5622,3806,1816,298334,150943,147391,17560,9094,8466,984,545,439,1856,1034,822,4974,2598,2376,100664,52849,47815,2607,1307,1300,2200,1197,1003,32689,16618,16071,56633,29487,27146,13878,7096,6782,13993,7412,6581,7675,3986,3689,1680,894,786,93652,48260,45392,9852,5261,4591,9710,6061,3649,7712,4135,3577,3251,1675,1576,6456,3529,2927,9065,4526,4539,957,493,464,7200,3981,3219,9950,5270,4680,2444,1270,1174,621,334,287,5677,3077,2600,
0,5,54673,28144,26529,128,72,56,190,101,89,21938,11376,10562,1818,929,889,45,28,17,113,64,49,500,258,242,8056,4173,3883,134,71,63,147,83,64,2033,1024,1009,3512,1766,1746,927,436,491,1143,593,550,910,487,423,145,75,70,7003,3624,3379,1086,578,508,764,385,379,886,468,418,214,105,109,481,217,264,609,298,311,62,26,36,499,241,258,687,336,351,136,60,76,32,13,19,475,257,218,
5,5,52689,26994,25695,108,57,51,208,114,94,20937,10689,10248,1789,910,879,47,26,21,111,73,38,432,231,201,7342,3717,3625,150,65,85,109,51,58,2071,1041,1030,3491,1788,1703,846,448,398,1018,524,494,884,460,424,137,75,62,7673,3934,3739,936,479,457,694,368,326,750,374,376,167,83,84,440,240,200,573,304,269,29,15,14,537,299,238,646,328,318,142,65,77,30,14,16,392,222,170,
10,5,51295,26347,24948,80,36,44,216,121,95,20586,10616,9970,1719,890,829,65,31,34,133,60,73,411,217,194,6483,3379,3104,142,81,61,123,53,70,2076,1084,992,3709,1799,1910,868,455,413,1044,557,487,838,424,414,118,51,67,7352,3748,3604,896,467,429,597,311,286,705,356,349,240,128,112,434,241,193,553,293,260,32,15,17,544,297,247,686,326,360,155,82,73,45,16,29,445,213,232,
15,5,49715,26034,23681,98,60,38,237,138,99,20146,10336,9810,1572,815,757,73,33,40,93,39,54,440,228,212,6362,3367,2995,129,64,65,104,56,48,2126,1122,1004,3673,1965,1708,883,470,413,1001,531,470,804,406,398,133,77,56,7048,3747,3301,775,430,345,542,288,254,597,300,297,192,98,94,396,233,163,533,282,251,30,16,14,468,245,223,651,346,305,155,90,65,45,27,18,409,225,184,
20,5,55670,29950,25720,249,178,71,313,219,94,24814,13121,11693,1441,700,741,43,24,19,46,26,20,406,213,193,9864,5521,4343,99,60,39,100,55,45,2043,1041,1002,3136,1769,1367,907,486,421,1044,591,453,771,408,363,135,63,72,5381,2856,2525,826,423,403,800,476,324,769,421,348,151,70,81,363,214,149,506,248,258,36,17,19,411,207,204,522,282,240,108,53,55,32,17,15,354,191,163,
25,5,57741,30361,27380,241,183,58,530,406,124,25356,13072,12284,1386,724,662,88,48,40,100,48,52,343,179,164,9401,5087,4314,118,59,59,122,71,51,2536,1261,1275,3380,1851,1529,955,496,459,1128,618,510,608,308,300,137,73,64,6148,3080,3068,796,439,357,839,513,326,616,330,286,202,97,105,338,171,167,641,278,363,77,41,36,408,240,168,693,387,306,145,74,71,32,18,14,377,209,168,
30,5,52386,27219,25167,243,146,97,489,345,144,22603,11371,11232,1112,556,556,37,20,17,140,69,71,290,142,148,8024,4350,3674,150,72,78,122,58,64,2284,1204,1080,3263,1689,1574,938,477,461,1071,567,504,364,192,172,118,67,51,6284,3198,3086,616,326,290,764,495,269,504,272,232,194,101,93,375,201,174,658,344,314,95,52,43,545,287,258,627,336,291,101,58,43,33,19,14,342,205,137,
35,5,45339,23330,22009,246,174,72,509,360,149,18880,9463,9417,885,435,450,56,30,26,114,51,63,242,132,110,6544,3330,3214,145,68,77,116,60,56,2066,1049,1017,3193,1685,1508,810,397,413,844,452,392,376,208,168,97,49,48,5946,3018,2928,570,303,267,574,401,173,402,225,177,177,92,85,372,188,184,602,325,277,63,33,30,455,262,193,591,313,278,101,46,55,43,24,19,320,157,163,
40,5,46932,24415,22517,327,252,75,545,383,162,19771,9966,9805,934,488,446,76,46,30,149,82,67,230,126,104,6156,3282,2874,175,86,89,121,72,49,2272,1157,1115,3513,1862,1651,894,450,444,840,433,407,364,178,186,56,35,21,6386,3297,3089,514,270,244,540,357,183,368,211,157,208,99,109,407,201,206,552,275,277,88,44,44,417,236,181,622,332,290,119,57,62,43,24,19,245,114,131,
45,5,50233,25996,24237,375,262,113,581,392,189,20442,10153,10289,1136,655,481,87,48,39,168,94,74,354,166,188,6132,3112,3020,190,103,87,149,75,74,2463,1253,1210,3889,1987,1902,972,486,486,987,502,485,411,216,195,118,62,56,6568,3413,3155,594,329,265,864,608,256,474,282,192,239,126,113,518,304,214,576,303,273,79,41,38,545,316,229,728,383,345,173,96,77,46,26,20,375,203,172,
50,5,56344,29221,27123,388,248,140,661,464,197,22190,11081,11109,1067,606,461,106,57,49,171,109,62,356,194,162,6975,3555,3420,228,115,113,207,110,97,2875,1493,1382,4938,2525,2413,1181,640,541,1089,589,500,391,206,185,150,86,64,7501,3853,3648,612,339,273,898,598,300,465,266,199,253,123,130,548,289,259,749,378,371,74,39,35,567,335,232,970,532,438,226,114,112,55,36,19,453,241,212,
55,5,53404,27761,25643,307,223,84,493,332,161,20615,10345,10270,929,495,434,102,59,43,191,111,80,343,180,163,6621,3364,3257,288,149,139,223,123,100,2663,1322,1341,5320,2688,2632,1181,594,587,993,552,441,314,179,135,114,68,46,6821,3606,3215,559,297,262,915,685,230,405,239,166,318,167,151,569,310,259,740,368,372,100,62,38,598,321,277,909,477,432,259,143,116,53,33,20,461,269,192,
60,5,40910,21643,19267,164,96,68,374,260,114,15433,7793,7640,678,351,327,76,49,27,167,115,52,247,137,110,5154,2796,2358,248,128,120,228,123,105,2118,1122,996,4309,2324,1985,943,500,443,699,368,331,232,123,109,86,40,46,5270,2721,2549,436,240,196,494,331,163,278,165,113,263,143,120,476,287,189,610,319,291,78,47,31,462,281,181,725,426,299,212,115,97,54,30,24,396,213,183,
65,5,26334,13950,12384,110,70,40,178,112,66,10123,5190,4933,438,236,202,27,17,10,64,35,29,135,68,67,3230,1764,1466,179,83,96,151,94,57,1281,658,623,3003,1648,1355,621,310,311,469,233,236,156,84,72,57,32,25,3372,1746,1626,266,155,111,216,150,66,182,87,95,194,120,74,330,197,133,377,192,185,49,19,30,292,185,107,400,221,179,153,79,74,32,17,15,249,148,101,
70,5,15539,7917,7622,35,17,18,57,40,17,5736,2746,2990,264,129,135,25,16,9,59,35,24,114,58,56,1858,939,919,82,42,40,83,51,32,759,378,381,1816,974,842,379,197,182,293,154,139,95,46,49,38,17,21,2157,1160,997,150,93,57,87,45,42,123,68,55,104,57,47,195,117,78,289,142,147,32,18,14,217,118,99,226,108,118,104,58,46,22,17,5,140,77,63,
75,5,9806,4707,5099,24,14,10,17,10,7,3814,1718,2096,204,93,111,17,6,11,25,17,8,63,37,26,1051,544,507,61,24,37,56,40,16,439,186,253,1167,589,578,232,117,115,156,78,78,82,33,49,15,11,4,1282,636,646,112,46,66,58,24,34,88,36,52,47,30,17,123,77,46,204,83,121,17,3,14,116,65,51,137,86,51,82,45,37,9,1,8,108,58,50,
80,5,6579,2913,3666,13,11,2,12,7,5,2706,1133,1573,120,51,69,9,7,2,9,3,6,43,22,21,775,344,431,50,23,27,22,15,7,303,126,177,698,338,360,175,79,96,91,33,58,38,18,20,17,11,6,830,404,426,63,27,36,40,16,24,59,22,37,41,14,27,60,22,38,127,55,72,10,2,8,63,31,32,66,30,36,41,22,19,10,1,9,88,46,42,
85,Inf,5453,1942,3511,10,7,3,12,2,10,2244,774,1470,68,31,37,5,0,5,3,3,0,25,10,15,636,225,411,39,14,25,17,7,10,281,97,184,623,240,383,166,58,108,83,37,46,37,10,27,9,2,7,630,219,411,45,20,25,24,10,14,41,13,28,47,22,25,31,20,11,166,39,127,6,3,3,56,15,41,64,21,43,32,13,19,5,1,4,48,29,19,
