x,n,AlaskaTotalOut,AlaskaMaleOut,AlaskaFemaleOut,AleutiansEastTotalOut,AleutiansEastMaleOut,AleutiansEastFemaleOut,AleutiansWestTotalOut,AleutiansWestMaleOut,AleutiansWestFemaleOut,AnchorageTotalOut,AnchorageMaleOut,AnchorageFemaleOut,BethelTotalOut,BethelMaleOut,BethelFemaleOut,BristolBayTotalOut,BristolBayMaleOut,BristolBayFemaleOut,DenaliTotalOut,DenaliMaleOut,DenaliFemaleOut,DillinghamTotalOut,DillinghamMaleOut,DillinghamFemaleOut,FairbanksNorthStarTotalOut,FairbanksNorthStarMaleOut,FairbanksNorthStarFemaleOut,HainesTotalOut,HainesMaleOut,HainesFemaleOut,HoonahAngoonTotalOut,HoonahAngoonMaleOut,HoonahAngoonFemaleOut,JuneauTotalOut,JuneauMaleOut,JuneauFemaleOut,KenaiPeninsulaTotalOut,KenaiPeninsulaMaleOut,KenaiPeninsulaFemaleOut,KetchikanGatewayTotalOut,KetchikanGatewayMaleOut,KetchikanGatewayFemaleOut,KodiakIslandTotalOut,KodiakIslandMaleOut,KodiakIslandFemaleOut,KusilvakTotalOut,KusilvakMaleOut,KusilvakFemaleOut,LakeandPeninsulaTotalOut,LakeandPeninsulaMaleOut,LakeandPeninsulaFemaleOut,MatanuskaSusitnaTotalOut,MatanuskaSusitnaMaleOut,MatanuskaSusitnaFemaleOut,NomeTotalOut,NomeMaleOut,NomeFemaleOut,NorthSlopeTotalOut,NorthSlopeMaleOut,NorthSlopeFemaleOut,NorthwestArcticTotalOut,NorthwestArcticMaleOut,NorthwestArcticFemaleOut,PetersburgTotalOut,PetersburgMaleOut,PetersburgFemaleOut,PrinceofWalesHyderTotalOut,PrinceofWalesHyderMaleOut,PrinceofWalesHyderFemaleOut,SitkaTotalOut,SitkaMaleOut,SitkaFemaleOut,SkagwayTotalOut,SkagwayMaleOut,SkagwayFemaleOut,SoutheastFairbanksTotalOut,SoutheastFairbanksMaleOut,SoutheastFairbanksFemaleOut,ValdezCordovaTotalOut,ValdezCordovaMaleOut,ValdezCordovaFemaleOut,WrangellTotalOut,WrangellMaleOut,WrangellFemaleOut,YakutatTotalOut,YakutatMaleOut,YakutatFemaleOut,YukonKoyukukTotalOut,YukonKoyukukMaleOut,YukonKoyukukFemaleOut,"From http://live.laborstats.alaska.gov/pop/migration.cfm, November 2018"
Total,NA,46724,25649,21075,182,107,75,443,274,169,27629,14725,12904,1324,733,591,129,74,55,231,126,105,409,224,185,9566,5107,4459,208,111,97,213,125,88,2658,1410,1248,4606,2475,2131,1193,639,554,1438,785,653,623,349,274,182,100,82,8008,4253,3755,777,419,358,697,386,311,654,356,298,270,145,125,589,330,259,806,416,390,90,48,42,807,432,375,1083,590,493,186,100,86,70,38,32,639,354,285,
0,5,4127,2129,1998,10,3,7,26,13,13,2648,1371,1277,143,76,67,8,4,4,16,7,9,42,22,20,1065,570,495,13,8,5,16,11,5,175,77,98,346,172,174,96,49,47,150,85,65,79,45,34,17,12,5,677,342,335,75,36,39,85,43,42,80,41,39,20,9,11,53,29,24,68,38,30,5,4,1,80,39,41,79,41,38,14,7,7,7,3,4,48,23,25,
5,5,3310,1670,1640,10,7,3,21,11,10,2076,1058,1018,110,61,49,5,3,2,12,5,7,28,14,14,817,415,402,9,4,5,11,5,6,149,73,76,273,138,135,76,37,39,120,61,59,58,30,28,12,6,6,593,300,293,56,29,27,56,25,31,50,25,25,17,8,9,39,22,17,49,24,25,5,2,3,63,32,31,66,35,31,10,5,5,5,3,2,45,25,20,
10,5,2684,1368,1316,11,7,4,20,11,9,1668,862,806,82,44,38,4,2,2,12,6,6,22,9,13,623,315,308,12,6,6,11,6,5,127,67,60,223,117,106,62,32,30,98,56,42,48,27,21,12,5,7,482,241,241,47,23,24,40,19,21,40,21,19,14,8,6,33,19,14,42,21,21,4,2,2,50,25,25,59,31,28,9,5,4,3,1,2,39,20,19,
15,5,2995,1568,1427,12,4,8,28,15,13,1723,895,828,102,54,48,10,5,5,14,6,8,33,17,16,601,317,284,13,6,7,15,10,5,179,91,88,318,160,158,86,42,44,107,55,52,59,29,30,17,9,8,623,310,313,62,30,32,50,25,25,53,26,27,17,8,9,49,24,25,50,22,28,4,2,2,69,35,34,75,37,38,14,7,7,6,3,3,49,24,25,
20,5,5571,3116,2455,13,9,4,33,18,15,3221,1688,1533,172,93,79,11,6,5,21,12,9,54,27,27,1092,564,528,22,11,11,25,13,12,343,181,162,626,330,296,142,76,66,157,86,71,92,50,42,23,10,13,1085,582,503,99,53,46,87,46,41,91,47,44,39,21,18,67,39,28,95,48,47,7,3,4,97,49,48,130,68,62,28,15,13,9,4,5,78,43,35,
25,5,5539,3161,2378,17,9,8,38,25,13,3477,1889,1588,154,87,67,17,10,7,17,9,8,44,27,17,1263,686,577,16,8,8,21,12,9,308,164,144,512,289,223,124,65,59,139,71,68,70,38,32,22,12,10,865,472,393,89,49,40,75,46,29,76,42,34,30,17,13,53,27,26,87,40,47,9,4,5,84,48,36,114,58,56,19,12,7,6,3,3,67,36,31,
30,5,4605,2641,1964,18,11,7,36,20,16,2847,1570,1277,121,70,51,10,7,3,21,12,9,37,20,17,1018,558,460,13,6,7,16,9,7,244,136,108,371,209,162,110,65,45,143,76,67,49,30,19,15,10,5,704,390,314,71,43,28,51,29,22,53,31,22,20,11,9,45,26,19,86,48,38,14,7,7,64,37,27,92,56,36,15,9,6,5,4,1,51,31,20,
35,5,3380,1962,1418,12,8,4,37,26,11,1980,1118,862,78,48,30,10,5,5,18,9,9,26,15,11,753,410,343,16,9,7,8,5,3,185,105,80,296,166,130,86,48,38,104,58,46,42,26,16,9,5,4,515,289,226,50,29,21,36,23,13,37,24,13,17,11,6,35,21,14,58,31,27,10,4,6,49,26,23,59,32,27,9,4,5,5,3,2,41,25,16,
40,5,2834,1644,1190,14,9,5,36,25,11,1656,932,724,64,40,24,8,6,2,16,9,7,16,11,5,544,309,235,16,9,7,13,7,6,174,103,71,251,143,108,70,41,29,93,52,41,26,17,9,8,5,3,481,265,216,38,23,15,31,20,11,34,22,12,15,8,7,32,18,14,45,24,21,7,5,2,44,24,20,62,36,26,8,5,3,6,3,3,34,20,14,
45,5,2489,1442,1047,19,12,7,40,27,13,1418,781,637,61,36,25,8,4,4,13,8,5,22,15,7,414,230,184,15,10,5,11,7,4,154,91,63,275,157,118,72,41,31,79,46,33,26,16,10,11,6,5,443,244,199,41,24,17,45,28,17,32,18,14,15,8,7,36,21,15,46,26,20,4,2,2,38,22,16,66,37,29,9,5,4,4,3,1,32,20,12,
50,5,2476,1393,1083,14,9,5,42,28,14,1385,739,646,69,41,28,11,6,5,18,11,7,24,12,12,392,211,181,13,8,5,14,10,4,161,87,74,280,152,128,75,44,31,68,41,27,21,12,9,12,7,5,450,246,204,41,22,19,37,22,15,34,23,11,14,7,7,36,20,16,44,25,19,4,3,1,50,28,22,80,45,35,12,7,5,4,2,2,43,26,17,
55,5,2236,1198,1038,14,9,5,33,21,12,1220,645,575,62,33,29,10,4,6,20,11,9,23,13,10,342,181,161,16,9,7,16,8,8,166,84,82,264,139,125,63,33,30,62,33,29,17,9,8,7,4,3,368,195,173,40,22,18,37,22,15,27,13,14,17,8,9,36,20,16,41,21,20,5,3,2,35,19,16,68,36,32,11,6,5,4,3,1,34,19,15,
60,5,1927,1040,887,7,4,3,29,19,10,1008,529,479,42,22,20,8,6,2,17,10,7,20,10,10,290,160,130,13,7,6,12,7,5,131,70,61,229,122,107,53,28,25,52,30,22,15,10,5,7,3,4,295,157,138,35,18,17,32,19,13,20,11,9,13,9,4,30,17,13,42,21,21,7,4,3,31,19,12,55,34,21,9,4,5,3,2,1,35,18,17,
65,5,1164,635,529,7,4,3,16,11,5,611,323,288,26,15,11,4,3,1,8,6,2,10,7,3,157,83,74,9,4,5,10,7,3,80,42,38,143,79,64,38,20,18,31,17,14,7,4,3,5,3,2,182,100,82,15,9,6,18,10,8,11,6,5,10,4,6,18,12,6,23,12,11,3,2,1,20,11,9,38,22,16,5,2,3,1,0,1,17,10,7,
