Period,Borough/Census Area FIPS,Age,In_Total,In_Male,In_Female,Out_Total,Out_Male,Out_Female,Data from: https://live.laborstats.alaska.gov/pop/migration/PFDMigrationByAgeBySexBCA.xls via https://live.laborstats.alaska.gov/pop/migration.html February 2023.
2015 to 2020,050,65-69,20,13,7,33,18,15,
2015 to 2020,050,70-74,11,5,6,17,8,9,
2015 to 2020,050,75-79,9,3,6,11,5,6,
2015 to 2020,050,80-84,4,2,2,7,3,4,
2015 to 2020,050,85-89,2,1,1,8,4,4,
2015 to 2020,050,90+,2,1,1,2,1,1,
2015 to 2020,060,Total,107,60,47,111,62,49,
2015 to 2020,060,0-4,10,6,4,8,4,4,
2015 to 2020,060,5-9,8,4,4,5,3,2,
2015 to 2020,060,10-14,5,3,2,4,3,1,
2015 to 2020,060,15-19,8,4,4,8,4,4,
2015 to 2020,060,20-24,8,4,4,10,6,4,
2015 to 2020,060,25-29,12,6,6,10,6,4,
2015 to 2020,060,30-34,12,7,5,14,7,7,
2015 to 2020,060,35-39,7,4,3,8,4,4,
2015 to 2020,060,40-44,8,4,4,8,5,3,
2015 to 2020,060,45-49,8,5,3,8,4,4,
2015 to 2020,060,50-54,5,4,1,7,5,2,
2015 to 2020,060,55-59,6,3,3,7,4,3,
2015 to 2020,060,60-64,5,3,2,5,3,2,
2015 to 2020,060,65-69,3,2,1,5,3,2,
2015 to 2020,060,70-74,2,1,1,1,0,1,
2015 to 2020,060,75-79,0,0,0,1,1,0,
2015 to 2020,060,80-84,0,0,0,1,0,1,
2015 to 2020,060,85-89,0,0,0,0,0,0,
2015 to 2020,060,90+,0,0,0,1,0,1,
2015 to 2020,063,Total,546,298,248,604,322,282,
2015 to 2020,063,0-4,43,25,18,36,22,14,
2015 to 2020,063,5-9,40,22,18,35,16,19,
2015 to 2020,063,10-14,35,20,15,34,17,17,
2015 to 2020,063,15-19,32,15,17,42,21,21,
2015 to 2020,063,20-24,50,29,21,72,38,34,
2015 to 2020,063,25-29,69,36,33,59,34,25,
2015 to 2020,063,30-34,68,37,31,58,31,27,
2015 to 2020,063,35-39,49,28,21,42,24,18,
2015 to 2020,063,40-44,35,20,15,36,18,18,
2015 to 2020,063,45-49,30,18,12,33,19,14,
2015 to 2020,063,50-54,23,11,12,36,18,18,
2015 to 2020,063,55-59,27,14,13,37,19,18,
2015 to 2020,063,60-64,17,9,8,37,21,16,
2015 to 2020,063,65-69,11,6,5,22,12,10,
2015 to 2020,063,70-74,7,4,3,11,5,6,
2015 to 2020,063,75-79,6,3,3,8,4,4,
2015 to 2020,063,80-84,1,0,1,2,1,1,
2015 to 2020,063,85-89,2,1,1,3,1,2,
2015 to 2020,063,90+,1,0,1,1,1,0,
2015 to 2020,066,Total,295,165,130,305,165,140,
2015 to 2020,066,0-4,29,16,13,24,12,12,
2015 to 2020,066,5-9,23,14,9,20,10,10,
2015 to 2020,066,10-14,20,11,9,17,10,7,
2015 to 2020,066,15-19,15,8,7,23,10,13,
2015 to 2020,066,20-24,18,9,9,32,16,16,
2015 to 2020,066,25-29,25,12,13,21,10,11,
2015 to 2020,066,30-34,25,12,13,25,14,11,
2015 to 2020,066,35-39,29,16,13,23,13,10,
2015 to 2020,066,40-44,19,11,8,14,8,6,
2015 to 2020,066,45-49,20,14,6,14,8,6,
2015 to 2020,066,50-54,19,10,9,18,11,7,
2015 to 2020,066,55-59,19,11,8,22,12,10,
2015 to 2020,066,60-64,14,8,6,17,10,7,
2015 to 2020,066,65-69,8,6,2,13,8,5,
2015 to 2020,066,70-74,7,4,3,8,6,2,
2015 to 2020,066,75-79,3,2,1,7,3,4,
2015 to 2020,066,80-84,2,1,1,4,3,1,
2015 to 2020,066,85-89,0,0,0,2,1,1,
2015 to 2020,066,90+,0,0,0,1,0,1,
2015 to 2020,068,Total,176,96,80,176,98,78,
2015 to 2020,068,0-4,11,6,5,11,7,4,
2015 to 2020,068,5-9,12,6,6,8,4,4,
2015 to 2020,068,10-14,7,3,4,7,4,3,
2015 to 2020,068,15-19,9,4,5,10,5,5,
2015 to 2020,068,20-24,12,6,6,14,7,7,
2015 to 2020,068,25-29,21,11,10,17,9,8,
2015 to 2020,068,30-34,21,11,10,15,7,8,
2015 to 2020,068,35-39,20,12,8,17,10,7,
2015 to 2020,068,40-44,13,7,6,11,7,4,
2015 to 2020,068,45-49,11,5,6,12,5,7,
2015 to 2020,068,50-54,10,6,4,10,6,4,
2015 to 2020,068,55-59,11,7,4,13,9,4,
2015 to 2020,068,60-64,9,6,3,11,7,4,
2015 to 2020,068,65-69,5,4,1,9,5,4,
2015 to 2020,068,70-74,2,1,1,6,3,3,
2015 to 2020,068,75-79,2,1,1,5,3,2,
2015 to 2020,068,80-84,0,0,0,0,0,0,
2015 to 2020,068,85-89,0,0,0,0,0,0,
2015 to 2020,068,90+,0,0,0,0,0,0,
2015 to 2020,070,Total,340,186,154,448,233,215,
2015 to 2020,070,0-4,37,20,17,39,16,23,
2015 to 2020,070,5-9,26,12,14,36,16,20,
2015 to 2020,070,10-14,21,11,10,27,12,15,
2015 to 2020,070,15-19,19,8,11,31,13,18,
