"Borough/Census Area FIPS","Year","Age","Total","Male","Female","Data from: https://web.archive.org/web/20210611231927/https://live.laborstats.alaska.gov/pop/estimates/data/AgeBySexBCA_2000to2010.xls via https://web.archive.org/web/20210611231927/https://live.laborstats.alaska.gov/pop/index.cfm March 2023 "
"070",2000,"75-79",48,24,24,
"070",2000,"80-84",28,13,15,
"070",2000,"85+",23,12,11,
"090",2000,"0-4",6722,3410,3312,
"090",2000,"5-9",7006,3549,3457,
"090",2000,"10-14",7189,3672,3517,
"090",2000,"15-19",6685,3618,3067,
"090",2000,"20-24",7416,4094,3322,
"090",2000,"25-29",7063,3791,3272,
"090",2000,"30-34",6466,3383,3083,
"090",2000,"35-39",7062,3591,3471,
"090",2000,"40-44",6990,3483,3507,
"090",2000,"45-49",6433,3353,3080,
"090",2000,"50-54",4968,2727,2241,
"090",2000,"55-59",3096,1674,1422,
"090",2000,"60-64",1899,1029,870,
"090",2000,"65-69",1356,690,666,
"090",2000,"70-74",1043,529,514,
"090",2000,"75-79",736,323,413,
"090",2000,"80-84",433,181,252,
"090",2000,"85+",277,120,157,
"100",2000,"0-4",128,62,66,
"100",2000,"5-9",157,78,79,
"100",2000,"10-14",201,100,101,
"100",2000,"15-19",167,89,78,
"100",2000,"20-24",87,43,44,
"100",2000,"25-29",96,43,53,
"100",2000,"30-34",145,73,72,
"100",2000,"35-39",185,87,98,
"100",2000,"40-44",248,127,121,
"100",2000,"45-49",253,139,114,
"100",2000,"50-54",238,124,114,
"100",2000,"55-59",146,69,77,
"100",2000,"60-64",91,44,47,
"100",2000,"65-69",87,45,42,
"100",2000,"70-74",61,39,22,
"100",2000,"75-79",50,25,25,
"100",2000,"80-84",28,12,16,
"100",2000,"85+",24,12,12,
"105",2000,"0-4",138,70,68,
"105",2000,"5-9",204,118,86,
"105",2000,"10-14",240,114,126,
"105",2000,"15-19",229,121,108,
"105",2000,"20-24",132,67,65,
"105",2000,"25-29",112,62,50,
"105",2000,"30-34",139,89,50,
"105",2000,"35-39",226,114,112,
"105",2000,"40-44",238,134,104,
"105",2000,"45-49",246,125,121,
"105",2000,"50-54",226,130,96,
"105",2000,"55-59",147,86,61,
"105",2000,"60-64",118,69,49,
"105",2000,"65-69",67,48,19,
"105",2000,"70-74",44,22,22,
"105",2000,"75-79",35,19,16,
"105",2000,"80-84",17,5,12,
"105",2000,"85+",16,5,11,
"110",2000,"0-4",2003,1022,981,
"110",2000,"5-9",2339,1180,1159,
"110",2000,"10-14",2541,1298,1243,
"110",2000,"15-19",2321,1213,1108,
"110",2000,"20-24",1686,826,860,
"110",2000,"25-29",1929,960,969,
"110",2000,"30-34",2357,1213,1144,
"110",2000,"35-39",2788,1382,1406,
"110",2000,"40-44",2993,1484,1509,
"110",2000,"45-49",3041,1530,1511,
"110",2000,"50-54",2473,1302,1171,
"110",2000,"55-59",1456,745,711,
"110",2000,"60-64",916,490,426,
"110",2000,"65-69",580,293,287,
"110",2000,"70-74",504,230,274,
"110",2000,"75-79",367,148,219,
"110",2000,"80-84",248,93,155,
"110",2000,"85+",169,60,109,
"122",2000,"0-4",3288,1665,1623,
"122",2000,"5-9",4024,2084,1940,
"122",2000,"10-14",4698,2372,2326,
"122",2000,"15-19",4140,2219,1921,
"122",2000,"20-24",2132,1179,953,
"122",2000,"25-29",2627,1368,1259,
"122",2000,"30-34",3021,1526,1495,
"122",2000,"35-39",4140,2139,2001,
"122",2000,"40-44",4934,2547,2387,
"122",2000,"45-49",5008,2619,2389,
"122",2000,"50-54",3731,2036,1695,
"122",2000,"55-59",2632,1432,1200,
"122",2000,"60-64",1667,902,765,
"122",2000,"65-69",1310,676,634,
"122",2000,"70-74",1051,531,520,
"122",2000,"75-79",736,351,385,
"122",2000,"80-84",341,130,211,
"122",2000,"85+",211,77,134,
"130",2000,"0-4",965,490,475,
"130",2000,"5-9",1145,588,557,
"130",2000,"10-14",1177,596,581,
"130",2000,"15-19",1045,536,509,
"130",2000,"20-24",691,349,342,
"130",2000,"25-29",781,377,404,
"130",2000,"30-34",1005,500,505,
"130",2000,"35-39",1278,686,592,
"130",2000,"40-44",1348,678,670,
"130",2000,"45-49",1211,624,587,
"130",2000,"50-54",1080,573,507,
"130",2000,"55-59",749,400,349,
"130",2000,"60-64",483,282,201,
"130",2000,"65-69",332,162,170,
"130",2000,"70-74",308,152,156,
"130",2000,"75-79",225,93,132,
"130",2000,"80-84",137,63,74,
"130",2000,"85+",107,33,74,
"150",2000,"0-4",1245,629,616,
"150",2000,"5-9",1269,628,641,
"150",2000,"10-14",1314,682,632,
"150",2000,"15-19",1027,534,493,
"150",2000,"20-24",817,445,372,
"150",2000,"25-29",897,478,419,
"150",2000,"30-34",1165,629,536,
"150",2000,"35-39",1390,734,656,
"150",2000,"40-44",1272,707,565,
"150",2000,"45-49",1134,612,522,
"150",2000,"50-54",850,467,383,
"150",2000,"55-59",529,282,247,
"150",2000,"60-64",331,177,154,
"150",2000,"65-69",272,151,121,
"150",2000,"70-74",177,91,86,
"150",2000,"75-79",110,59,51,
"150",2000,"80-84",70,36,34,
"150",2000,"85+",44,21,23,
"164",2000,"0-4",145,65,80,
"164",2000,"5-9",200,104,96,
"164",2000,"10-14",217,108,109,
"164",2000,"15-19",190,104,86,
"164",2000,"20-24",92,47,45,
"164",2000,"25-29",77,38,39,
"164",2000,"30-34",98,51,47,
"164",2000,"35-39",157,90,67,
"164",2000,"40-44",179,100,79,
"164",2000,"45-49",137,70,67,
"164",2000,"50-54",91,53,38,
"164",2000,"55-59",86,48,38,
"164",2000,"60-64",55,36,19,
"164",2000,"65-69",39,22,17,
"164",2000,"70-74",26,18,8,
"164",2000,"75-79",18,11,7,
"164",2000,"80-84",10,3,7,
"164",2000,"85+",6,1,5,
"170",2000,"0-4",4147,2141,2006,
"170",2000,"5-9",5202,2620,2582,
"170",2000,"10-14",6034,3153,2881,
"170",2000,"15-19",5317,2873,2444,
"170",2000,"20-24",2816,1496,1320,
"170",2000,"25-29",3086,1524,1562,
"170",2000,"30-34",3841,1918,1923,
"170",2000,"35-39",5288,2618,2670,
"170",2000,"40-44",6233,3265,2968,
"170",2000,"45-49",5659,2956,2703,
"170",2000,"50-54",3825,2093,1732,
"170",2000,"55-59",2650,1484,1166,
"170",2000,"60-64",1724,937,787,
"170",2000,"65-69",1360,704,656,
"170",2000,"70-74",991,531,460,
"170",2000,"75-79",634,310,324,
"170",2000,"80-84",317,141,176,
"170",2000,"85+",198,67,131,
"180",2000,"0-4",790,431,359,
"180",2000,"5-9",1021,534,487,
"180",2000,"10-14",1029,530,499,
"180",2000,"15-19",841,443,398,
"180",2000,"20-24",594,320,274,
"180",2000,"25-29",610,310,300,
"180",2000,"30-34",616,349,267,
"180",2000,"35-39",732,417,315,
"180",2000,"40-44",712,391,321,
"180",2000,"45-49",644,364,280,
"180",2000,"50-54",490,305,185,
"180",2000,"55-59",348,185,163,
"180",2000,"60-64",229,128,101,
