x,n,AlaskaTotal,AlaskaMale,AlaskaFemale,AleutiansEastTotal,AleutiansEastMale,AleutiansEastFemale,AleutiansWestTotal,AleutiansWestMale,AleutiansWestFemale,AnchorageTotal,AnchorageMale,AnchorageFemale,BethelTotal,BethelMale,BethelFemale,BristolBayTotal,BristolBayMale,BristolBayFemale,DenaliTotal,DenaliMale,DenaliFemale,DillinghamTotal,DillinghamMale,DillinghamFemale,FairbanksNorthStarTotal,FairbanksNorthStarMale,FairbanksNorthStarFemale,HainesTotal,HainesMale,HainesFemale,HoonahAngoonTotal,HoonahAngoonMale,HoonahAngoonFemale,JuneauTotal,JuneauMale,JuneauFemale,KenaiPeninsulaTotal,KenaiPeninsulaMale,KenaiPeninsulaFemale,KetchikanGatewayTotal,KetchikanGatewayMale,KetchikanGatewayFemale,KodiakIslandTotal,KodiakIslandMale,KodiakIslandFemale,LakeandPeninsulaTotal,LakeandPeninsulaMale,LakeandPeninsulaFemale,MatanuskaSusitnaTotal,MatanuskaSusitnaMale,MatanuskaSusitnaFemale,NomeTotal,NomeMale,NomeFemale,NorthSlopeTotal,NorthSlopeMale,NorthSlopeFemale,NorthwestArcticTotal,NorthwestArcticMale,NorthwestArcticFemale,PetersburgTotal,PetersburgMale,PetersburgFemale,PrinceofWalesHyderTotal,PrinceofWalesHyderMale,PrinceofWalesHyderFemale,SitkaTotal,SitkaMale,SitkaFemale,SkagwayTotal,SkagwayMale,SkagwayFemale,SoutheastFairbanksTotal,SoutheastFairbanksMale,SoutheastFairbanksFemale,ValdezCordovaTotal,ValdezCordovaMale,ValdezCordovaFemale,KusilvakTotal,KusilvakMale,KusilvakFemale,WrangellTotal,WrangellMale,WrangellFemale,YakutatTotal,YakutatMale,YakutatFemale,YukonKoyukukTotal,YukonKoyukukMale,YukonKoyukukFemale,"v2010 from http://live.laborstats.alaska.gov/pop/index.cfm, Nov 2018"
Total,NA,667146,345077,322069,2677,1736,941,5406,3480,1926,277157,140576,136581,16915,8968,7947,1193,649,544,1769,1034,735,4777,2499,2278,90381,47077,43304,2312,1174,1138,2225,1225,1000,31340,15846,15494,51735,26927,24808,13331,6846,6485,13491,7157,6334,1647,876,771,74871,38644,36227,9448,5110,4338,6857,3661,3196,7360,3931,3429,4127,2167,1960,5546,3050,2496,8990,4621,4369,875,458,417,6199,3215,2984,10177,5419,4758,7332,3831,3501,2258,1176,1082,708,427,281,6042,3297,2745,
0,5,49634,25468,24166,74,35,39,191,90,101,20704,10630,10074,1962,1005,957,74,38,36,104,55,49,428,230,198,7536,3844,3692,93,46,47,109,62,47,2004,1024,980,3124,1565,1559,815,420,395,1077,555,522,106,54,52,4965,2564,2401,1019,532,487,721,373,348,763,397,366,235,124,111,323,165,158,625,344,281,27,12,15,366,166,200,667,337,330,966,512,454,114,55,59,33,18,15,409,216,193,
5,5,47799,24463,23336,102,47,55,260,121,139,19861,10100,9761,1468,818,650,87,44,43,90,49,41,445,236,209,6365,3195,3170,135,64,71,121,55,66,2013,1017,996,3350,1695,1655,914,474,440,1174,596,578,140,62,78,5542,2847,2695,712,389,323,588,342,246,712,367,345,303,159,144,441,229,212,558,314,244,35,16,19,448,235,213,687,334,353,625,338,287,144,75,69,38,20,18,441,225,216,
10,5,55456,28377,27079,84,36,48,221,124,97,22181,11328,10853,1970,1035,935,102,45,57,111,63,48,501,279,222,6819,3463,3356,153,83,70,179,102,77,2364,1192,1172,4194,2157,2037,1067,544,523,1187,602,585,190,103,87,6832,3463,3369,1065,555,510,690,325,365,796,406,390,331,168,163,465,255,210,667,326,341,59,27,32,547,274,273,816,438,378,1021,540,481,170,89,81,77,46,31,597,309,288,
15,5,55858,28866,26992,106,55,51,256,133,123,21248,10980,10268,1770,914,856,111,68,43,138,78,60,565,274,291,7093,3644,3449,180,88,92,195,90,105,2497,1295,1202,4597,2348,2249,1040,532,508,1160,628,532,185,90,95,7024,3672,3352,957,494,463,764,419,345,855,433,422,386,197,189,467,242,225,683,333,350,30,18,12,615,286,329,946,503,443,1005,507,498,215,121,94,51,24,27,719,400,319,
20,5,48837,26524,22313,186,133,53,276,167,109,21171,11192,9979,1241,648,593,65,30,35,64,35,29,287,156,131,8151,4643,3508,91,52,39,139,82,57,2033,1063,970,3220,1833,1387,814,434,380,811,457,354,139,78,61,4949,2687,2262,706,382,324,572,307,265,620,328,292,206,120,86,358,202,156,591,333,258,25,13,12,387,219,168,584,307,277,597,312,285,89,49,40,42,29,13,423,233,190,
25,5,42392,22470,19922,250,169,81,447,308,139,20341,10575,9766,981,506,475,35,23,12,65,40,25,198,98,100,8597,4755,3842,42,16,26,62,35,27,1694,803,891,1578,875,703,605,315,290,795,446,349,53,25,28,3250,1633,1617,550,307,243,323,152,171,417,215,202,148,73,75,164,98,66,543,278,265,57,28,29,190,93,97,405,258,147,319,152,167,35,21,14,17,12,5,231,161,70,
30,5,46709,23815,22894,165,108,57,494,344,150,21280,10786,10494,1050,543,507,70,38,32,142,77,65,243,118,125,6973,3616,3357,101,46,55,89,50,39,2111,1080,1031,2981,1525,1456,798,393,405,928,481,447,77,41,36,4690,2305,2385,641,326,315,413,232,181,470,257,213,243,129,114,301,147,154,574,281,293,103,45,58,372,178,194,553,242,311,423,214,209,84,34,50,36,19,17,304,160,144,
35,5,47712,24681,23031,281,207,74,750,532,218,20337,10291,10046,1109,599,510,80,43,37,133,84,49,313,165,148,6189,3165,3024,154,79,75,119,75,44,2423,1262,1161,3269,1660,1609,960,478,482,1110,596,514,91,50,41,5393,2706,2687,581,338,243,450,246,204,483,283,200,320,169,151,357,181,176,668,350,318,69,43,26,374,180,194,713,382,331,460,246,214,125,59,66,61,36,25,340,176,164,
40,5,55820,28609,27211,386,281,105,671,452,219,23571,11805,11766,1247,678,569,132,71,61,168,92,76,391,216,175,6818,3425,3393,181,86,95,207,102,105,2770,1365,1405,4315,2242,2073,1194,648,546,1250,643,607,144,85,59,6568,3309,3259,702,399,303,517,282,235,495,272,223,297,147,150,492,260,232,702,372,330,81,46,35,511,266,245,905,488,417,406,215,191,158,75,83,71,47,24,470,240,230,
