x,n,AlaskaTotal,AlaskaMale,AlaskaFemale,AleutiansEastTotal,AleutiansEastMale,AleutiansEastFemale,AleutiansWestTotal,AleutiansWestMale,AleutiansWestFemale,AnchorageTotal,AnchorageMale,AnchorageFemale,BethelTotal,BethelMale,BethelFemale,BristolBayTotal,BristolBayMale,BristolBayFemale,DenaliTotal,DenaliMale,DenaliFemale,DillinghamTotal,DillinghamMale,DillinghamFemale,FairbanksNorthStarTotal,FairbanksNorthStarMale,FairbanksNorthStarFemale,HainesTotal,HainesMale,HainesFemale,HoonahAngoonTotal,HoonahAngoonMale,HoonahAngoonFemale,JuneauTotal,JuneauMale,JuneauFemale,KenaiPeninsulaTotal,KenaiPeninsulaMale,KenaiPeninsulaFemale,KetchikanGatewayTotal,KetchikanGatewayMale,KetchikanGatewayFemale,KodiakIslandTotal,KodiakIslandMale,KodiakIslandFemale,LakeandPeninsulaTotal,LakeandPeninsulaMale,LakeandPeninsulaFemale,MatanuskaSusitnaTotal,MatanuskaSusitnaMale,MatanuskaSusitnaFemale,NomeTotal,NomeMale,NomeFemale,NorthSlopeTotal,NorthSlopeMale,NorthSlopeFemale,NorthwestArcticTotal,NorthwestArcticMale,NorthwestArcticFemale,PetersburgTotal,PetersburgMale,PetersburgFemale,PrinceofWalesHyderTotal,PrinceofWalesHyderMale,PrinceofWalesHyderFemale,SitkaTotal,SitkaMale,SitkaFemale,SkagwayTotal,SkagwayMale,SkagwayFemale,SoutheastFairbanksTotal,SoutheastFairbanksMale,SoutheastFairbanksFemale,ValdezCordovaTotal,ValdezCordovaMale,ValdezCordovaFemale,KusilvakTotal,KusilvakMale,KusilvakFemale,WrangellTotal,WrangellMale,WrangellFemale,YakutatTotal,YakutatMale,YakutatFemale,YukonKoyukukTotal,YukonKoyukukMale,YukonKoyukukFemale,"v2010 from http://live.laborstats.alaska.gov/pop/index.cfm, Nov 2018"
Total,NA,641729,331873,309856,2732,1765,967,5141,3350,1791,267339,135374,131965,16438,8724,7714,1170,641,529,1863,1085,778,4911,2563,2348,85860,44767,41093,2412,1224,1188,2329,1277,1052,31047,15661,15386,50879,26468,24411,13764,7049,6715,13557,7189,6368,1650,882,768,64636,33502,31134,9335,5050,4285,7220,3835,3385,7245,3869,3376,4191,2196,1995,5679,3119,2560,8812,4514,4298,861,449,412,5836,3027,2809,10140,5400,4740,7216,3767,3449,2369,1226,1143,750,450,300,6347,3450,2897,
0,5,47584,24415,23169,90,41,49,195,97,98,20164,10289,9875,1738,924,814,77,41,36,99,59,40,426,227,199,6998,3534,3464,119,57,62,112,60,52,2026,1047,979,3222,1600,1622,897,451,446,1160,595,565,113,53,60,4075,2097,1978,885,480,405,714,397,317,754,392,362,279,147,132,403,212,191,593,331,262,34,14,20,343,171,172,678,345,333,776,424,352,144,78,66,29,18,11,441,234,207,
5,5,50275,25731,24544,122,61,61,242,123,119,20708,10561,10147,1719,949,770,94,43,51,100,49,51,512,275,237,6568,3337,3231,144,71,73,162,88,74,2187,1114,1073,3666,1883,1783,1015,533,482,1173,586,587,169,87,82,5243,2676,2567,845,453,392,648,326,322,742,364,378,317,160,157,458,242,216,603,309,294,53,23,30,486,244,242,732,369,363,833,434,399,164,85,79,68,36,32,502,250,252,
10,5,57567,29413,28154,122,63,59,227,126,101,22333,11388,10945,1999,993,1006,121,62,59,146,84,62,595,305,290,7177,3633,3544,185,100,85,207,105,102,2488,1238,1250,4637,2332,2305,1176,596,580,1335,677,658,199,96,103,6442,3366,3076,1123,567,556,847,440,407,920,494,426,385,196,189,508,264,244,703,346,357,50,26,24,585,279,306,919,490,429,1109,593,516,211,113,98,68,35,33,750,406,344,
15,5,54772,28502,26270,133,70,63,243,118,125,20876,10718,10158,1672,911,761,106,60,46,144,74,70,492,251,241,6886,3637,3249,212,105,107,208,105,103,2568,1351,1217,4770,2520,2250,1085,542,543,1098,575,523,194,102,92,6524,3444,3080,943,486,457,789,412,377,810,405,405,338,180,158,485,258,227,703,346,357,32,18,14,626,340,286,952,502,450,908,446,462,187,102,85,62,35,27,726,389,337,
20,5,40892,22271,18621,214,151,63,249,174,75,18455,9698,8757,1037,539,498,32,15,17,60,40,20,237,132,105,7773,4418,3355,76,40,36,123,68,55,1627,825,802,2217,1314,903,683,374,309,713,404,309,94,57,37,3130,1673,1457,571,324,247,469,237,232,495,260,235,187,104,83,302,173,129,544,322,222,33,18,15,240,133,107,427,259,168,461,242,219,84,47,37,22,16,6,337,214,123,
25,5,41539,21651,19888,209,133,76,414,279,135,19487,10095,9392,994,503,491,41,28,13,108,63,45,233,115,118,7678,4166,3512,67,27,40,80,45,35,1845,876,969,2164,1137,1027,657,329,328,814,446,368,54,21,33,2803,1375,1428,593,316,277,385,203,182,459,244,215,187,97,90,238,127,111,517,255,262,66,32,34,232,112,120,439,216,223,399,192,207,73,35,38,24,14,10,279,170,109,
30,5,46790,24026,22764,231,166,65,589,409,180,21190,10760,10430,1084,559,525,65,34,31,155,86,69,291,151,140,6590,3421,3169,138,67,71,108,68,40,2290,1198,1092,3100,1565,1535,971,478,493,1066,570,496,59,34,25,4140,2045,2095,600,318,282,464,255,209,453,260,193,284,152,132,327,165,162,611,297,314,85,42,43,322,151,171,624,310,314,459,232,227,113,49,64,52,26,26,329,158,171,
35,5,51944,26811,25133,343,248,95,726,521,205,22327,11224,11103,1290,713,577,101,51,50,159,91,68,408,211,197,6664,3434,3230,170,85,85,174,94,80,2582,1301,1281,3652,1890,1762,1117,588,529,1230,636,594,128,72,56,5171,2605,2566,715,419,296,596,323,273,538,290,248,315,163,152,434,224,210,676,359,317,71,42,29,388,184,204,795,416,379,479,264,215,154,73,81,67,38,29,474,252,222,
40,5,58060,29620,28440,347,237,110,693,466,227,24253,12055,12198,1199,646,553,167,96,71,215,126,89,386,206,180,6979,3474,3505,212,108,104,217,117,100,2942,1439,1503,4877,2508,2369,1324,683,641,1270,711,559,178,101,77,6503,3309,3194,722,395,327,571,310,261,483,273,210,371,182,189,532,290,242,775,397,378,77,43,34,507,266,241,1036,539,497,418,219,199,210,104,106,87,62,25,509,258,251,
