x,n,AlaskaTotalIn,AlaskaMaleIn,AlaskaFemaleIn,AleutiansEastTotalIn,AleutiansEastMaleIn,AleutiansEastFemaleIn,AleutiansWestTotalIn,AleutiansWestMaleIn,AleutiansWestFemaleIn,AnchorageTotalIn,AnchorageMaleIn,AnchorageFemaleIn,BethelTotalIn,BethelMaleIn,BethelFemaleIn,BristolBayTotalIn,BristolBayMaleIn,BristolBayFemaleIn,DenaliTotalIn,DenaliMaleIn,DenaliFemaleIn,DillinghamTotalIn,DillinghamMaleIn,DillinghamFemaleIn,FairbanksNorthStarTotalIn,FairbanksNorthStarMaleIn,FairbanksNorthStarFemaleIn,HainesTotalIn,HainesMaleIn,HainesFemaleIn,HoonahAngoonTotalIn,HoonahAngoonMaleIn,HoonahAngoonFemaleIn,JuneauTotalIn,JuneauMaleIn,JuneauFemaleIn,KenaiPeninsulaTotalIn,KenaiPeninsulaMaleIn,KenaiPeninsulaFemaleIn,KetchikanGatewayTotalIn,KetchikanGatewayMaleIn,KetchikanGatewayFemaleIn,KodiakIslandTotalIn,KodiakIslandMaleIn,KodiakIslandFemaleIn,KusilvakTotalIn,KusilvakMaleIn,KusilvakFemaleIn,LakeandPeninsulaTotalIn,LakeandPeninsulaMaleIn,LakeandPeninsulaFemaleIn,MatanuskaSusitnaTotalIn,MatanuskaSusitnaMaleIn,MatanuskaSusitnaFemaleIn,NomeTotalIn,NomeMaleIn,NomeFemaleIn,NorthSlopeTotalIn,NorthSlopeMaleIn,NorthSlopeFemaleIn,NorthwestArcticTotalIn,NorthwestArcticMaleIn,NorthwestArcticFemaleIn,PetersburgTotalIn,PetersburgMaleIn,PetersburgFemaleIn,PrinceofWalesHyderTotalIn,PrinceofWalesHyderMaleIn,PrinceofWalesHyderFemaleIn,SitkaTotalIn,SitkaMaleIn,SitkaFemaleIn,SkagwayTotalIn,SkagwayMaleIn,SkagwayFemaleIn,SoutheastFairbanksTotalIn,SoutheastFairbanksMaleIn,SoutheastFairbanksFemaleIn,ValdezCordovaTotalIn,ValdezCordovaMaleIn,ValdezCordovaFemaleIn,WrangellTotalIn,WrangellMaleIn,WrangellFemaleIn,YakutatTotalIn,YakutatMaleIn,YakutatFemaleIn,YukonKoyukukTotalIn,YukonKoyukukMaleIn,YukonKoyukukFemaleIn,"From http://live.laborstats.alaska.gov/pop/migration.cfm, November 2018"
Total,NA,38340,20724,17616,148,84,64,402,242,160,23943,12638,11305,1020,550,470,110,63,47,198,115,83,363,194,169,9028,4768,4260,225,124,101,234,132,102,2671,1407,1264,4304,2305,1999,1161,635,526,1268,677,591,432,243,189,169,93,76,7900,4202,3698,627,333,294,488,277,211,559,306,253,268,144,124,540,302,238,851,436,415,86,44,42,668,368,300,1112,602,510,173,97,76,65,35,30,662,368,294,
0,5,3560,1825,1735,9,3,6,25,15,10,2387,1234,1153,119,58,61,9,6,3,10,4,6,41,21,20,1106,565,541,21,12,9,14,8,6,211,104,107,380,195,185,105,58,47,137,72,65,67,39,28,15,8,7,822,432,390,67,27,40,59,37,22,64,29,35,26,15,11,44,22,22,75,37,38,2,1,1,67,33,34,93,49,44,16,9,7,3,1,2,68,33,35,
5,5,3061,1564,1497,7,3,4,22,12,10,1920,994,926,89,43,46,8,4,4,11,5,6,32,17,15,847,423,424,13,7,6,15,6,9,182,93,89,302,152,150,82,40,42,123,60,63,43,23,20,14,7,7,708,369,339,48,27,21,27,13,14,48,24,24,20,11,9,38,19,19,63,31,32,3,1,2,62,29,33,90,46,44,11,6,5,4,2,2,47,26,21,
10,5,2786,1462,1324,12,6,6,23,12,11,1742,895,847,83,41,42,6,4,2,13,8,5,30,14,16,665,332,333,13,7,6,12,6,6,176,95,81,294,147,147,71,39,32,96,51,45,38,21,17,12,6,6,655,335,320,46,22,24,30,14,16,44,20,24,21,11,10,42,23,19,49,25,24,5,3,2,61,35,26,90,43,47,13,7,6,5,2,3,52,26,26,
15,5,2545,1317,1228,7,4,3,18,9,9,1645,814,831,82,43,39,8,4,4,14,8,6,27,13,14,531,276,255,11,7,4,19,10,9,174,92,82,283,153,130,85,44,41,84,43,41,33,18,15,13,8,5,547,290,257,46,26,20,41,24,17,46,26,20,15,8,7,42,21,21,59,27,32,3,1,2,51,29,22,79,41,38,12,6,6,4,2,2,52,28,24,
20,5,4959,2708,2251,13,8,5,31,18,13,3034,1558,1476,105,53,52,11,6,5,17,10,7,31,16,15,1256,668,588,19,8,11,24,12,12,351,180,171,453,250,203,132,65,67,130,68,62,46,25,21,18,10,8,735,372,363,67,35,32,52,27,25,60,34,26,27,13,14,61,33,28,102,48,54,9,4,5,65,36,29,99,54,45,16,9,7,7,5,2,66,38,28,
25,5,4609,2544,2065,11,6,5,35,18,17,2812,1511,1301,108,61,47,10,4,6,21,11,10,40,22,18,1228,646,582,23,11,12,20,11,9,310,164,146,428,234,194,123,69,54,132,65,67,54,29,25,17,9,8,737,388,349,73,38,35,50,29,21,59,34,25,35,17,18,47,26,21,104,52,52,17,9,8,53,28,25,108,55,53,14,7,7,6,3,3,60,32,28,
30,5,3939,2175,1764,14,10,4,47,27,20,2406,1323,1083,92,55,37,9,6,3,26,16,10,37,21,16,978,533,445,19,11,8,17,11,6,273,145,128,376,207,169,100,58,42,129,70,59,34,21,13,14,7,7,722,392,330,55,32,23,37,21,16,55,33,22,24,14,10,40,23,17,79,42,37,13,8,5,51,27,24,103,57,46,13,7,6,7,3,4,57,32,25,
35,5,3346,1899,1447,19,12,7,49,32,17,2014,1103,911,79,46,33,11,6,5,20,11,9,33,21,12,738,406,332,20,10,10,18,11,7,230,130,100,330,182,148,97,54,43,119,67,52,28,17,11,12,7,5,658,365,293,50,28,22,39,25,14,44,27,17,23,13,10,39,23,16,69,37,32,6,3,3,55,32,23,99,53,46,12,8,4,5,3,2,57,34,23,
40,5,2817,1614,1203,20,11,9,48,32,16,1811,996,815,77,45,32,12,7,5,18,12,6,28,15,13,552,304,248,18,12,6,23,13,10,206,115,91,346,193,153,102,62,40,101,59,42,22,13,9,13,9,4,645,366,279,45,25,20,38,22,16,38,23,15,21,11,10,46,27,19,65,36,29,5,2,3,49,29,20,99,57,42,14,8,6,6,4,2,50,30,20,
