x,n,Alaska,AleutiansEast,AleutiansWest,Anchorage,Bethel,BristolBay,Denali,Dillingham,FairbanksNorthStar,Haines,HoonahAngoon,Juneau,KenaiPeninsula,KetchikanGateway,KodiakIsland,Kusilvak,LakeandPeninsula,MatanuskaSusitna,Nome,NorthSlope,NorthwestArctic,Petersburg,PrinceofWalesHyder,Sitka,Skagway,SoutheastFairbanks,ValdezCordova,Wrangell,Yakutat,YukonKoyukuk,"From http://live.laborstats.alaska.gov/pop/migration.cfm, November 2018"
Total,NA,41481,149,429,24960,1038,119,221,374,8679,236,204,2562,4436,1152,1236,476,163,8539,591,565,490,262,557,731,100,776,877,182,71,576,
0,5,3760,8,23,2530,133,9,20,38,1005,15,18,236,368,108,135,77,17,895,64,69,60,21,52,61,6,95,73,14,8,56,
5,15,8145,23,56,5095,215,24,36,88,1799,38,33,454,818,218,281,124,41,1881,121,115,103,45,116,130,13,173,174,31,13,119,
20,5,5702,11,39,3289,137,12,19,44,1271,16,25,326,478,125,125,56,18,884,74,75,66,28,53,77,7,80,99,21,8,56,
25,5,5518,16,47,3408,130,11,23,41,1264,19,18,349,485,139,146,54,18,969,73,63,58,34,50,96,20,82,92,20,8,62,
30,5,3990,12,38,2395,80,12,23,30,895,21,17,240,365,101,115,37,16,746,52,31,37,21,45,73,12,65,73,14,5,51,
35,5,3293,12,45,1934,67,11,22,19,669,23,10,193,314,86,104,31,8,658,41,34,28,21,42,59,10,52,62,10,7,36,
40,5,2856,15,52,1622,66,9,17,25,492,16,16,179,296,82,93,26,11,598,39,42,34,18,41,53,8,49,68,11,4,40,
45,5,2552,18,42,1460,63,9,18,25,413,23,14,174,311,85,77,23,12,546,38,37,39,17,42,49,7,54,73,12,4,44,
50,5,1972,11,34,1141,55,9,18,28,315,20,17,145,295,70,55,15,8,437,29,37,25,19,38,42,7,43,53,11,4,34,
55,5,1444,11,30,823,36,5,13,17,220,17,17,105,255,56,44,14,5,351,27,27,21,15,29,35,5,31,44,13,5,34,
60,5,897,7,14,488,26,3,7,8,136,13,10,67,182,31,24,8,4,231,13,18,7,8,21,17,4,25,29,10,3,20,
65,5,507,2,6,288,11,3,4,4,74,8,4,35,111,20,17,4,2,139,8,6,6,6,13,12,1,11,17,5,0,9,
70,5,310,2,2,178,7,1,1,2,44,4,3,21,61,12,9,1,1,77,4,4,2,3,7,7,0,7,8,4,1,4,
75,Inf,535,1,1,309,12,1,0,5,82,3,2,38,97,19,11,6,2,127,8,7,4,6,8,20,0,9,12,6,1,11,
