x,n,AlaskaTotal,AlaskaMale,AlaskaFemale,AleutiansEastTotal,AleutiansEastMale,AleutiansEastFemale,AleutiansWestTotal,AleutiansWestMale,AleutiansWestFemale,AnchorageTotal,AnchorageMale,AnchorageFemale,BethelTotal,BethelMale,BethelFemale,BristolBayTotal,BristolBayMale,BristolBayFemale,DenaliTotal,DenaliMale,DenaliFemale,DillinghamTotal,DillinghamMale,DillinghamFemale,FairbanksNorthStarTotal,FairbanksNorthStarMale,FairbanksNorthStarFemale,HainesTotal,HainesMale,HainesFemale,HoonahAngoonTotal,HoonahAngoonMale,HoonahAngoonFemale,JuneauTotal,JuneauMale,JuneauFemale,KenaiPeninsulaTotal,KenaiPeninsulaMale,KenaiPeninsulaFemale,KetchikanGatewayTotal,KetchikanGatewayMale,KetchikanGatewayFemale,KodiakIslandTotal,KodiakIslandMale,KodiakIslandFemale,LakeandPeninsulaTotal,LakeandPeninsulaMale,LakeandPeninsulaFemale,MatanuskaSusitnaTotal,MatanuskaSusitnaMale,MatanuskaSusitnaFemale,NomeTotal,NomeMale,NomeFemale,NorthSlopeTotal,NorthSlopeMale,NorthSlopeFemale,NorthwestArcticTotal,NorthwestArcticMale,NorthwestArcticFemale,PetersburgTotal,PetersburgMale,PetersburgFemale,PrinceofWalesHyderTotal,PrinceofWalesHyderMale,PrinceofWalesHyderFemale,SitkaTotal,SitkaMale,SitkaFemale,SkagwayTotal,SkagwayMale,SkagwayFemale,SoutheastFairbanksTotal,SoutheastFairbanksMale,SoutheastFairbanksFemale,ValdezCordovaTotal,ValdezCordovaMale,ValdezCordovaFemale,KusilvakTotal,KusilvakMale,KusilvakFemale,WrangellTotal,WrangellMale,WrangellFemale,YakutatTotal,YakutatMale,YakutatFemale,YukonKoyukukTotal,YukonKoyukukMale,YukonKoyukukFemale,"v2010 from http://live.laborstats.alaska.gov/pop/index.cfm, Nov 2018"
Total,NA,626932,324111,302821,2697,1750,947,5465,3513,1952,260283,131668,128615,16047,8525,7522,1258,685,573,1893,1101,792,4922,2567,2355,82840,43217,39623,2392,1211,1181,2574,1398,1176,30711,15469,15242,49691,25853,23838,14067,7182,6885,13913,7362,6551,1823,969,854,59322,30831,28491,9196,4969,4227,7385,3910,3475,7208,3847,3361,4260,2229,2031,6125,3344,2781,8835,4505,4330,862,450,412,6174,3194,2980,10195,5428,4767,7028,3666,3362,2448,1260,1188,808,479,329,6510,3529,2981,
0,5,47592,24405,23187,116,60,56,257,129,128,20033,10183,9850,1608,877,731,89,47,42,98,53,45,476,246,230,6722,3410,3312,128,62,66,138,70,68,2003,1022,981,3288,1665,1623,965,490,475,1245,629,616,145,65,80,4147,2141,2006,790,431,359,705,397,308,773,403,370,298,159,139,451,237,214,565,318,247,40,18,22,438,225,213,679,331,348,744,401,343,148,80,68,39,18,21,464,238,226,
5,5,53771,27519,26252,117,61,56,248,137,111,21867,11154,10713,1912,1019,893,107,49,58,109,62,47,521,289,232,7006,3549,3457,157,78,79,204,118,86,2339,1180,1159,4024,2084,1940,1145,588,557,1269,628,641,200,104,96,5202,2620,2582,1021,534,487,782,383,399,827,433,394,332,164,168,505,269,236,669,326,343,65,29,36,539,274,265,799,431,368,953,509,444,181,94,87,79,46,33,592,307,285,
10,5,56661,29078,27583,131,68,63,266,139,127,21501,11015,10486,1893,992,901,129,72,57,151,84,67,603,303,300,7189,3672,3517,201,100,101,240,114,126,2541,1298,1243,4698,2372,2326,1177,596,581,1314,682,632,217,108,109,6034,3153,2881,1029,530,499,863,457,406,910,461,449,425,217,208,567,285,282,730,348,382,44,24,20,656,313,343,994,531,463,1063,553,510,241,131,110,66,32,34,788,428,360,
15,5,50094,26366,23728,156,95,61,260,139,121,19662,10121,9541,1469,771,698,99,47,52,127,66,61,402,218,184,6685,3618,3067,167,89,78,229,121,108,2321,1213,1108,4140,2219,1921,1045,536,509,1027,534,493,190,104,86,5317,2873,2444,841,443,398,721,379,342,711,360,351,309,169,140,524,284,240,689,377,312,34,18,16,565,314,251,784,408,376,754,381,373,170,89,81,60,37,23,636,343,293,
20,5,39892,21192,18700,208,136,72,336,209,127,17694,9178,8516,1065,551,514,44,26,18,92,56,36,255,133,122,7416,4094,3322,87,43,44,132,67,65,1686,826,860,2132,1179,953,691,349,342,817,445,372,92,47,45,2816,1496,1320,594,320,274,448,221,227,487,255,232,183,96,87,311,177,134,573,308,265,39,22,17,297,164,133,477,283,194,441,217,224,84,47,37,26,14,12,369,233,136,
25,5,42987,22186,20801,190,125,65,451,307,144,19748,10101,9647,1022,525,497,64,35,29,131,74,57,249,121,128,7063,3791,3272,96,43,53,112,62,50,1929,960,969,2627,1368,1259,781,377,404,897,478,419,77,38,39,3086,1524,1562,610,310,300,459,247,212,490,259,231,223,118,105,338,172,166,533,262,271,72,34,38,328,160,168,500,229,271,447,223,224,101,46,55,35,17,18,328,180,148,
30,5,46486,24121,22365,280,198,82,751,529,222,20365,10376,9989,1137,610,527,79,43,36,140,88,52,345,176,169,6466,3383,3083,145,73,72,139,89,50,2357,1213,1144,3021,1526,1495,1005,500,505,1165,629,536,98,51,47,3841,1918,1923,616,349,267,530,284,246,521,299,222,318,171,147,388,199,189,626,318,308,76,42,34,358,173,185,669,346,323,486,249,237,135,61,74,59,31,28,370,197,173,
35,5,55723,28555,27168,367,269,98,726,496,230,23972,12024,11948,1314,702,612,135,71,64,181,101,80,436,241,195,7062,3591,3471,185,87,98,226,114,112,2788,1382,1406,4140,2139,2001,1278,686,592,1390,734,656,157,90,67,5288,2618,2670,732,417,315,597,318,279,530,286,244,318,162,156,526,272,254,729,376,353,74,41,33,478,236,242,895,478,417,438,233,205,176,84,92,80,49,31,505,258,247,
40,5,58325,29798,28527,303,210,93,674,467,207,24238,11992,12246,1158,618,540,160,93,67,244,141,103,392,196,196,6990,3483,3507,248,127,121,238,134,104,2993,1484,1509,4934,2547,2387,1348,678,670,1272,707,565,179,100,79,6233,3265,2968,712,391,321,636,340,296,484,281,203,427,208,219,592,328,264,844,419,425,76,42,34,553,284,269,1084,550,534,430,235,195,248,125,123,89,59,30,546,294,252,
45,5,53515,27950,25565,285,178,107,562,370,192,21685,11033,10652,968,535,433,122,65,57,232,134,98,375,200,175,6433,3353,3080,253,139,114,246,125,121,3041,1530,1511,5008,2619,2389,1211,624,587,1134,612,522,137,70,67,5659,2956,2703,644,364,280,507,288,219,424,247,177,395,219,176,583,336,247,774,395,379,98,61,37,541,284,257,1028,567,461,308,164,144,237,129,108,94,62,32,531,291,240,
