"FIPS","AreaName","AgeNumber","Age","Total_In2015to2020","Male_In2015to2020","Female_In2015to2020","Total_Out2015to2020","Male_Out2015to2020","Female_Out2015to2020","Total_Net2015to2020","Male_Net2015to2020","Female_Net2015to2020","Total_In2010to2015","Male_In2010to2015","Female_In2010to2015","Total_Out2010to2015","Male_Out2010to2015","Female_Out2010to2015","Total_Net2010to2015","Male_Net2010to2015","Female_Net2010to2015","Total_In2005to2010","Male_In2005to2010","Female_In2005to2010","Total_Out2005to2010","Male_Out2005to2010","Female_Out2005to2010","Total_Net2005to2010","Male_Net2005to2010","Female_Net2005to2010","Total_In2000to2005","Male_In2000to2005","Female_In2000to2005","Total_Out2000to2005","Male_Out2000to2005","Female_Out2000to2005","Total_Net2000to2005","Male_Net2000to2005","Female_Net2000to2005","Total_In1995to2000","Male_In1995to2000","Female_In1995to2000","Total_Out1995to2000","Male_Out1995to2000","Female_Out1995to2000","Total_Net1995to2000","Male_Net1995to2000","Female_Net1995to2000","Total_In1990to1995","Male_In1990to1995","Female_In1990to1995","Total_Out1990to1995","Male_Out1990to1995","Female_Out1990to1995","Total_Net1990to1995","Male_Net1990to1995","Female_Net1990to1995","Total_In1985to1990","Male_In1985to1990","Female_In1985to1990","Total_Out1985to1990","Male_Out1985to1990","Female_Out1985to1990","Total_Net1985to1990","Male_Net1985to1990","Female_Net1985to1990"
"000","Alaska",12,"55-59",1631,920,711,2295,1239,1056,-664,-319,-345,1707,960,747,2238,1200,1038,-531,-240,-291,1444,823,621,1810,984,826,-366,-161,-205,1074,582,492,1513,839,674,-439,-257,-182,867,480,387,1332,738,594,-465,-258,-207,720,409,311,1179,675,504,-459,-266,-193,613,341,272,1055,604,451,-442,-263,-179
"000","Alaska",13,"60-64",1251,688,563,2167,1169,998,-916,-481,-435,1121,625,496,1928,1041,887,-807,-416,-391,897,495,402,1289,706,583,-392,-211,-181,655,354,301,969,533,436,-314,-179,-135,540,296,244,849,486,363,-309,-190,-119,483,264,219,826,474,352,-343,-210,-133,442,231,211,757,424,333,-315,-193,-122
"000","Alaska",14,"65-69",836,456,380,1558,840,718,-722,-384,-338,624,338,286,1163,634,529,-539,-296,-243,508,272,236,753,411,342,-245,-139,-106,401,207,194,600,326,274,-199,-119,-80,340,175,165,445,241,204,-105,-66,-39,347,175,172,438,242,196,-91,-67,-24,304,139,165,360,191,169,-56,-52,-4
"000","Alaska",15,"70-74",506,261,245,911,480,431,-405,-219,-186,379,193,186,646,341,305,-267,-148,-119,310,158,152,405,223,182,-95,-65,-30,266,134,132,328,168,160,-62,-34,-28,217,102,115,241,123,118,-24,-21,-3,203,91,112,251,130,121,-48,-39,-9,193,88,105,181,91,90,12,-3,15
"000","Alaska",16,"75-79",311,152,159,498,253,245,-187,-101,-86,236,106,130,321,159,162,-85,-53,-32,218,99,119,257,129,128,-39,-30,-9,204,80,124,219,109,110,-15,-29,14,168,69,99,177,92,85,-9,-23,14,135,52,83,160,75,85,-25,-23,-2,123,44,79,101,48,53,22,-4,26
"000","Alaska",17,"80-84",182,79,103,287,140,147,-105,-61,-44,157,63,94,206,81,125,-49,-18,-31,165,63,102,180,88,92,-15,-25,10,148,55,93,157,68,89,-9,-13,4,103,33,70,91,38,53,12,-5,17,92,29,63,77,33,44,15,-4,19,83,31,52,60,25,35,23,6,17
"000","Alaska",18,"85-89",109,43,66,172,73,99,-63,-30,-33,95,35,60,124,63,61,-29,-28,-1,105,35,70,99,34,65,6,1,5,79,22,57,89,35,54,-10,-13,3,59,17,42,50,26,24,9,-9,18,54,16,38,48,24,24,6,-8,14,46,18,28,40,15,25,6,3,3
"000","Alaska",19,"90+",68,22,46,143,61,82,-75,-39,-36,56,20,36,93,39,54,-37,-19,-18,47,15,32,62,23,39,-15,-8,-7,35,11,24,54,25,29,-19,-14,-5,30,8,22,47,19,28,-17,-11,-6,27,9,18,27,10,17,0,-1,1,15,5,10,14,7,7,1,-2,3
"013","Aleutians East Borough",0,"Total",143,85,58,179,112,67,-36,-27,-9,153,92,61,178,106,72,-25,-14,-11,149,87,62,67,38,29,82,49,33,148,84,64,156,89,67,-8,-5,-3,170,99,71,103,60,43,67,39,28,222,132,90,279,166,113,-57,-34,-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",1,"0-4",4,1,3,5,3,2,-1,-2,1,10,5,5,9,3,6,1,2,-1,8,4,4,5,2,3,3,2,1,9,3,6,10,6,4,-1,-3,2,9,4,5,6,4,2,3,0,3,21,11,10,21,12,9,0,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
